,Link,Name,Price,Rating,# of Ratings
1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A048329820XAHXN31GQ0T&url=%2FSmart-Led-Bulb-Apple-HomeKit%2Fdp%2FB08C59FDCS%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dhomekit%2Blight%26qid%3D1614548112%26sr%3D8-1-spons%26psc%3D1&qualifier=1614548111&id=294824532174403&widgetName=sp_atf,"Smart Light Bulbs Apple HomeKit - Color Changing Smart Bulbs Compatible with Siri, Alexa and Google Home, A19 LED Bulb, E26 Fitting, 2700K-6500K Dimmable, 9W 810 Lumens, 2 Pack",28.99,4.3 out of 5 stars,139
2,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03781422QKIRMLRGEAYI&url=%2FDimmable-Assistant-Multi-Color-Nightstand-Schedule%2Fdp%2FB087BZZCJ9%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dhomekit%2Blight%26qid%3D1614548112%26sr%3D8-2-spons%26psc%3D1&qualifier=1614548111&id=294824532174403&widgetName=sp_atf,"Smart Table Lamp, Meross Dimmable WiFi Ambient Lamp, Works with HomeKit (iOS13+), Alexa and Google Assistant, Tunable White and Multi-Color Nightstand Lamp, Voice Control, APP Control, Schedule",29.99,4.3 out of 5 stars,262
3,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A063240820PSK91PYAJNG&url=%2FRefoss-Multiple-Equivalent-Compatible-Assistant%2Fdp%2FB08C54D2XX%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Dhomekit%2Blight%26qid%3D1614548112%26sr%3D8-3-spons%26psc%3D1&qualifier=1614548111&id=294824532174403&widgetName=sp_atf,"Smart Light Bulbs Apple HomeKit - Color Changing Smart Bulbs Compatible with Siri, Alexa and Google Home, A19 LED Bulb, E26 Fitting, 2700K-6500K Dimmable, 9W 810 Lumens, 1 Pack",17.99,4.0 out of 5 stars,2
4,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0468585JVICV7AZD1IF&url=%2Fmeross-Supports-Assistant-SmartThings-Dimmable%2Fdp%2FB08GPBH5NK%2Fref%3Dsr_1_4_sspa%3Fdchild%3D1%26keywords%3Dhomekit%2Blight%26qid%3D1614548112%26sr%3D8-4-spons%26psc%3D1%26smid%3DA23Q57EDICDOV3&qualifier=1614548111&id=294824532174403&widgetName=sp_atf,"meross Smart Dimmer Switch Single Pole Supports Apple HomeKit, Alexa Google Assistant & SmartThings, 2.4Ghz WiFi Light Switch for Dimmable LED, Neutral Wire Required, Remote Control Schedule, 1 Pack",24.99,4.5 out of 5 stars,125
5,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A01532452Z3IKK9BV6CQ6&url=%2FDimmable-Assistant-SmartThings-Multi-Color-Schedule%2Fdp%2FB08CKGXVL3%2Fref%3Dsr_1_5_sspa%3Fdchild%3D1%26keywords%3Dhomekit%2Blight%26qid%3D1614548112%26sr%3D8-5-spons%26psc%3D1&qualifier=1614548111&id=294824532174403&widgetName=sp_atf,"Smart Lamp, Meross Dimmable WiFi Table Lamp, Support HomeKit (iOS13+), Alexa, Google Assistant and SmartThings, Tunable White and Multi-Color, Touch Control, Voice and APP Control, Schedule and Timer",42.99,4.5 out of 5 stars,330
6,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09717856ZR3N44VVTBJ&url=%2FVOCOlinc-Multicolor-Dimmable-Assistant-SmartGlow%2Fdp%2FB07QNJ29PL%2Fref%3Dsr_1_6_sspa%3Fdchild%3D1%26keywords%3Dhomekit%2Blight%26qid%3D1614548112%26sr%3D8-6-spons%26psc%3D1&qualifier=1614548111&id=294824532174403&widgetName=sp_atf,VOCOlinc Wi-Fi LED Light Bulb Works with Apple HomeKit Siri A21 9.5W(60W) Smart Multicolor RGBW App-dimmable Compatible with Alexa Google Assistant No Hub Required 2.4GHz SmartGlow (2 Pack),33.99,4.4 out of 5 stars,1262
7,https://www.amazon.com/HomeKit-Compatible-SmartThings-Control-Changing/dp/B08ML9T8WJ/ref=sr_1_7?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-7,"Smart LED Strip Lights Works with Apple HomeKit, 32.8ft WiFi RGB Strip, Compatible with Siri, Alexa&Google and SmartThings, App Control, Color Changing Led Strips for Home, Bedroom, Kitchen, TV, Party",48.99,4.4 out of 5 stars,312
8,https://www.amazon.com/Smart-Led-Bulb-Apple-HomeKit/dp/B08C59FDCS/ref=sr_1_8?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-8,"Smart Light Bulbs Apple HomeKit - Color Changing Smart Bulbs Compatible with Siri, Alexa and Google Home, A19 LED Bulb, E26 Fitting, 2700K-6500K Dimmable, 9W 810 Lumens, 2 Pack",28.99,4.3 out of 5 stars,139
9,https://www.amazon.com/VOCOlinc-Multicolor-Dimmable-Assistant-SmartGlow/dp/B07QNJ29PL/ref=sr_1_9?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-9,VOCOlinc Wi-Fi LED Light Bulb Works with Apple HomeKit Siri A21 9.5W(60W) Smart Multicolor RGBW App-dimmable Compatible with Alexa Google Assistant No Hub Required 2.4GHz SmartGlow (2 Pack),33.99,4.4 out of 5 stars,1262
10,https://www.amazon.com/Dimmable-Assistant-SmartThings-Multi-Color-Schedule/dp/B08CKGXVL3/ref=sr_1_10?dchild=1&keywords=homekit+light&qid=1614548112&sr=8-10,"Smart Lamp, Meross Dimmable WiFi Table Lamp, Support HomeKit (iOS13+), Alexa, Google Assistant and SmartThings, Tunable White and Multi-Color, Touch Control, Voice and APP Control, Schedule and Timer",42.99,4.5 out of 5 stars,330
